fishID,lakeID,basin,DOCbin,lakeDOC,fishSL,capture_Method,total_RakerNum,length_Raker1,length_Raker2,length_Raker3,length_Raker4,length_Raker5,length_Raker6,length_Raker7,length_Raker8,length_Raker9,space1,space2,space3,space4,space5,space6,space7,space8,avgRakerLength,avgRakerSpace,SS.Length,SS.Space,SS.Count,lakeSlope,avgrakerlengthSS_bylake,avgrakerspaceSS_bylake,rakercountSS_bylake,avgL_4-7,avgS_4-6,avgL2_ss,avgS2_ss,fitted_L,fitted_S,fitted_C
BA AN 011 07-13.jpg,Bay,4,low,7.4,164.5867633,Angle,11,10.25,16.62,21.2,20.77,19.69,16.2,18.21,19.49,16.11,4.77,6.94,9.36,8.85,12.19,11.3,13.91,11.77,17.61555556,9.88625,15.01740235,7.3053298,11.20967448,0.60263,13.84344307,7.769267498,8.807810206,18.7175,10.78,15.79847567,13.68650563,2.86364,2.110257,10.95308
BA AN 012 07-13.jpg,Bay,4,low,7.4,145.7596159,Angle,13,8.54,11.49,11.69,19.09,23.52,22.02,20.18,16.93,17.55,3.22,4.58,5.65,6.15,8.29,9.57,9.11,10.88,16.77888889,7.18125,15.01464796,5.817340623,13.17202209,0.60263,14.18744984,6.07214171,11.1357831,21.2025,8.003333333,18.84185581,9.450360685,2.86364,2.110257,10.95308
BA AN 013 07-13.jpg,Bay,4,low,7.4,127.9049582,Angle,11,9.79,15.05,19.04,20.39,18.24,16.6,16.32,12.27,15.4,7.42,7.78,8.61,7.79,9.12,9.44,8.31,9.56,15.9,8.50375,14.98979416,7.604516016,11.07699746,0.60263,14.54579352,7.779496496,10.13186798,17.8875,8.783333333,16.80150482,9.593060693,2.86364,2.110257,10.95308
BA AN 014 07-13.jpg,Bay,4,low,7.4,138.1369409,Angle,10,9.68,10.75,20.27,19.86,18.55,16.95,16.67,18.83,17.56,7.02,5.95,7.59,8.67,8.57,10.25,10.37,12.03,16.56888889,8.80625,15.14796755,7.429589871,10.10665822,0.60263,14.47079217,7.691138685,8.825385236,18.0075,9.163333333,16.37121218,10.47863028,2.86364,2.110257,10.95308
BA AN 015 07-13.jpg,Bay,4,low,7.4,146.2637841,Angle,10,14.37,16.92,22.7,26.47,24.54,17.56,15.48,15.92,12.84,5.58,7.51,9.95,9.18,9.74,11.06,10.51,10.83,18.53333333,9.295,16.56178209,7.509988284,10.13397687,0.60263,15.63835183,7.843096321,8.549574946,21.0125,9.993333333,18.64569193,11.82450877,2.86364,2.110257,10.95308
BA FN4 001.jpg,Bay,4,low,7.4,95.11941081,Fyke_Net,12,11.41,16.75,16.36,15.17,14.44,14.04,15.06,12.53,10.44,4.66,6.45,6.05,6.22,6.4,6.96,6.37,6.53,14.02222222,6.205,14.87790498,6.942482638,11.91618574,0.60263,15.33438428,6.785658426,13.02908547,14.6775,6.526666667,15.63092762,5.973160405,2.86364,2.110257,10.95308
BA FN4 002.jpg,Bay,4,low,7.4,115.5857501,Fyke_Net,11,13.51,15.24,22.53,21,21.71,19.39,18.01,18.93,17.53,5.49,6.05,7.47,7.79,7.67,7.21,8.78,9.01,18.65,7.43375,18.30750961,7.177057614,11.02415155,0.60263,18.13529633,7.228604824,10.71810894,20.0275,7.556666667,19.63695308,7.769090695,2.86364,2.110257,10.95308
BA FN4 003.jpg,Bay,4,low,7.4,122.5793694,Fyke_Net,13,9.95,16.01,19.74,18.85,19.32,15,10.15,9.31,12.97,8.32,6.3,7.5,8.1,9.51,9.25,6.47,7.55,14.58888889,7.875,13.98915231,7.272537459,13.06473394,0.60263,13.69282586,7.391322339,12.2602298,15.83,8.953333333,15.13947196,9.533579502,2.86364,2.110257,10.95308
BA FN5 001 07-26.jpg,Bay,4,low,7.4,83.29367918,Fyke_Net,9,9.77,10.81,14.69,16.49,16.31,14.46,12.31,12.85,9.88,3.59,3.81,5.74,5.79,6.01,6.12,6.99,5.63,13.06333333,5.46,14.61462205,6.754430585,8.881288112,0.60263,15.47566811,6.468279129,10.51958312,14.8925,5.973333333,16.77825863,5.050195649,2.86364,2.110257,10.95308
BA FN5 002 07-26.jpg,Bay,4,low,7.4,97.61840822,Fyke_Net,11,14.07,15.34,15.91,13.96,11.37,9.78,11.17,8.69,8.01,5.58,6.4,5.77,6.04,8.18,6.55,7.61,5.17,12.03333333,6.4125,12.63619854,7.0352444,10.93655451,0.60263,12.95532408,6.903835331,11.77253603,11.57,6.923333333,12.1868283,6.435047264,2.86364,2.110257,10.95308
BA FN5 003 07-26.jpg,Bay,4,low,7.4,106.1559981,Fyke_Net,10,9.15,11.79,13.72,16.02,15.35,13.28,13.47,11.84,11.85,6.46,4.7,6.4,6.51,8.32,8.15,9.28,7.71,12.94111111,7.19125,13.14229349,7.40468247,9.981762902,0.60263,13.24617367,7.36078237,10.21535117,14.53,7.66,14.77011625,7.485205365,2.86364,2.110257,10.95308
BA FN5 004 07-26.jpg,Bay,4,low,7.4,64.33606672,Fyke_Net,11,7.85,11.49,14.09,13.26,12.61,10.47,10.98,10.39,10.2,2.84,2.84,4.85,4.65,4.71,4.62,4.7,4.53,11.26,4.2175,13.96463401,6.343209223,10.72333949,0.60263,15.58559143,5.837685575,14.840281,11.83,4.66,14.87026874,3.376908695,2.86364,2.110257,10.95308
BA FN5 005 07-26.jpg,Bay,4,low,7.4,90.66890534,Fyke_Net,12,9.47,13.25,16.1,18.12,16.2,15.39,12.25,11.15,8.6,3.91,4.7,5.45,5.85,5.88,6.38,5.65,7.34,13.39222222,5.645,14.48379375,6.549110169,11.88925328,0.60263,15.07451485,6.354119156,13.38050325,15.49,6.036666667,16.83479573,5.368907299,2.86364,2.110257,10.95308
BA FN5 006 07-26.jpg,Bay,4,low,7.4,76.95205221,Fyke_Net,11,5.6,9.04,12.62,15.59,14.81,14.74,14.06,13.5,13.89,3.19,4.46,4.31,5.27,5.6,6.03,5.58,7.1,12.65,5.1925,14.60657903,6.820140201,10.8143931,0.60263,15.71851372,6.452056617,13.43538998,14.8,5.633333333,17.24340907,4.542814199,2.86364,2.110257,10.95308
BA FN5 007 07-26.jpg,Bay,4,low,7.4,77.40347569,Fyke_Net,13,8.73,9.69,13.11,14.63,15.15,14.54,13.28,13.54,11.14,4.36,3.56,2.66,5.77,6.07,5.54,7,5.09,12.64555556,5.00625,14.56740474,6.546473066,12.78417686,0.60263,15.65770233,6.198739182,15.82668871,14.4,5.793333333,16.73581396,4.688183207,2.86364,2.110257,10.95308
BA FN5 008 07-26.jpg,Bay,4,low,7.4,88.59634073,Fyke_Net,11,11.36,15.04,18.17,18.22,15.96,14.62,14.05,12.85,8.93,4.56,5.12,5.97,6.13,6.59,6.84,7.21,5.74,14.35555556,6.02,15.66957741,7.107436919,10.88658849,0.60263,16.38561196,6.871315096,12.42400566,15.7125,6.52,17.2448643,5.719273701,2.86364,2.110257,10.95308
BA FN8 001 07-16.jpg,Bay,4,low,7.4,137.6861572,Fyke_Net,12,9.47,12.3,16.3,19.41,25.77,22.26,19.2,19.47,17.24,3.64,6.22,6.1,7.73,7.64,9.16,10.73,11.08,17.93555556,7.7875,16.41883361,6.586366874,12.1261181,0.60263,15.69528552,6.814800683,10.60970608,21.66,8.176666667,19.71913033,9.332110047,2.86364,2.110257,10.95308
BA FN8 003 07-16.jpg,Bay,4,low,7.4,147.2916203,Fyke_Net,11,14.07,18.28,22.1,27.64,23.37,21.48,20.14,18.38,17.76,6.92,8.92,9.6,10.68,10.24,10.81,12.44,11.08,20.35777778,10.08625,18.14137763,8.106224191,11.15106124,0.60263,17.10547243,8.474910955,9.36802577,23.1575,10.57666667,20.48816048,12.5671607,2.86364,2.110257,10.95308
BH Electro 003 06-06.jpg,Birch,7,high,10.9,141.3872246,Shock,10,12.21,10.7,23.27,27.13,22.26,21.65,20.03,17.53,16.56,8.57,7.96,12.95,8.94,9.94,10.06,10.35,10.86,19.03777778,9.95375,17.24434066,8.251230027,10.11776334,0.52647,16.70817031,8.735745854,8.878375994,22.7675,9.646666667,20.49558019,11.18557218,3.092045,1.892224,11.01305
BH Electro 004 06-06.jpg,Birch,7,high,10.9,122.6367803,Shock,12,11.67,16.37,25.76,25.7,24.11,23.16,19.24,18.47,18.11,7.21,6.84,4.36,7.35,8.45,7.71,7.21,8.41,20.28777778,7.1925,19.45013005,6.639898121,12.06002106,0.52647,19.19010719,6.803359392,11.40584232,23.0525,7.836666667,22.04253912,8.346877074,3.092045,1.892224,11.01305
BH Electro 005 06-06.jpg,Birch,7,high,10.9,134.4394841,Shock,12,6.18,13.74,25.1,27.27,27.9,24.49,21.96,23.77,17.43,5.7,6.1,8.54,6.9,6.87,6.95,7.87,8.91,20.87111111,7.23,19.28895382,6.226257602,12.11246212,0.52647,18.8095813,6.515870994,10.91446283,25.405,6.906666667,23.36375286,7.771146202,3.092045,1.892224,11.01305
BH Electro 006 06-06.jpg,Birch,7,high,10.9,149.0680184,Shock,11,22.21,33.1,32.34,33.11,27.18,26.46,25.78,22.85,15.88,9.84,6.88,7.71,8.54,9.93,10.81,10.26,10.78,26.54555556,9.34375,23.54257875,7.441678892,11.15737549,0.52647,22.65735321,7.975156013,9.521728217,28.1325,9.76,24.76350374,11.68009601,3.092045,1.892224,11.01305
BH Electro 007 06-06.jpg,Birch,7,high,10.9,144.713229,Shock,13,10.01,16.07,26.26,33.75,35.29,34.58,31.21,26.97,22.29,6.55,10.37,4.11,6.1,9.83,11.66,7.97,9.8,26.27,8.29875,23.57548738,6.759343251,13.16754162,0.52647,22.77489509,7.194649073,11.41398738,33.7075,9.196666667,30.04621948,10.81284364,3.092045,1.892224,11.01305
BH Electro 008 06-06.jpg,Birch,7,high,10.9,117.8341649,Shock,11,8.83,10.68,18.11,26.95,29.04,26.82,24.62,22.8,21.09,7.69,8.8,6.28,8.04,6.45,6.72,7.16,7.38,20.99333333,7.315,20.4499819,6.960211414,11.034185,0.52647,20.2795503,7.066296736,10.65745618,26.8575,7.07,26.11953055,7.352827857,3.092045,1.892224,11.01305
BH FN 001 06-06.jpg,Birch,7,high,10.9,134.9872963,Fyke_Net,12,10.45,17.42,23.19,29.05,24.29,22.99,19.87,20.24,19.73,10.44,6.92,8.56,8.27,10.31,9.25,11.04,10.98,20.80333333,9.47125,19.19513922,8.131298315,12.11478819,0.52647,18.70840262,8.517491361,10.89321264,24.05,9.276666667,22.0795224,10.46316017,3.092045,1.892224,11.01305
BH FN 002 06-06.jpg,Birch,7,high,10.9,90.90087417,Fyke_Net,13,8.51,9.22,12.06,15.22,17.29,19.99,19.1,23.71,25.93,4.25,6.02,5.32,6.48,5.45,5.89,6.58,6.32,16.78111111,5.78875,18.13040752,6.702912652,12.88157851,0.52647,18.5837121,6.410577745,14.26320804,17.9,5.94,19.43296001,5.290998496,3.092045,1.892224,11.01305
BH FN1 001 06-28.jpg,Birch,7,high,10.9,102.9999433,Fyke_Net,10,11.46,7.77,21.23,26.03,25.39,21.16,19.97,20.16,16.58,4.32,5.76,5.33,5.7,6.74,6.11,8.39,7.77,18.86111111,6.265,19.38641784,6.599943807,9.967547436,0.52647,19.55726264,6.496246434,10.3339292,23.1375,6.183333333,23.82277414,5.934339673,3.092045,1.892224,11.01305
BH FN1 002 06-28.jpg,Birch,7,high,10.9,112.9559142,Fyke_Net,11,10.03,9.55,24.38,26.86,25.99,23.21,21.49,17.67,15.2,5.65,4.29,7.45,6.81,5.6,7.19,7.3,6.98,19.37555556,6.40875,19.19523049,6.296137767,11.01217731,0.52647,19.13807527,6.330208961,10.87561101,24.3875,6.533333333,24.146415,6.625330323,3.092045,1.892224,11.01305
BH FN1 003 06-28.jpg,Birch,7,high,10.9,99.23812279,Fyke_Net,9,33.42,24.67,26.7,23.53,23.09,19.79,13.9,16.93,14.35,5.98,6.39,6.52,6.6,5.47,5,6.32,4.79,21.82,5.88375,22.76319563,6.375272818,8.955045954,0.52647,23.07291559,6.221606849,9.467862147,20.0775,5.69,21.00084245,5.340911928,3.092045,1.892224,11.01305
BH FN1 004 06-28.jpg,Birch,7,high,10.9,93.23824673,Fyke_Net,12,7.79,10.94,18.56,15.56,26.59,26.52,23.17,21.59,22.27,5.22,7.2,5.96,6.41,5.87,6.16,6.77,5.74,19.22111111,6.16625,20.55726296,7.004185632,11.90495143,0.52647,21.0031951,6.737963087,13.00681255,22.96,6.146666667,24.65941499,5.5587021,3.092045,1.892224,11.01305
BH FN3 002 06-28.jpg,Birch,7,high,10.9,131.5664232,Fyke_Net,9,13.97,25.29,30.75,23.12,21.96,15.87,16.99,15.15,13.3,6.84,9.54,10.25,11,11.02,10.98,9.71,10.28,19.6,9.9525,18.27103137,8.712026236,9.075084724,0.52647,17.86606253,9.072053156,8.271034695,19.485,11,18.08429924,12.21823158,3.092045,1.892224,11.01305
BH FN3 003 06-28.jpg,Birch,7,high,10.9,117.7399112,Fyke_Net,10,6.27,16.36,35.95,24.35,19.35,17.63,15.52,17.15,15.12,6.06,8.17,14.27,7.93,8.06,7.64,6.76,6.92,18.63333333,8.22625,18.15686074,7.832004709,10.03069825,0.52647,18.007376,7.949913538,9.692312802,19.2125,7.876666667,18.69093441,8.187851917,3.092045,1.892224,11.01305
BH FN3 004 06-28.jpg,Birch,7,high,10.9,107.0273531,Fyke_Net,9,11.33,14.88,24.77,30.37,26.79,21.89,17.12,20.75,16.34,6.37,4.98,7.83,7.75,7.41,7.87,8.07,7.83,20.47111111,7.26375,20.72164597,7.433217516,8.987055049,0.52647,20.802349,7.381293475,9.131134518,24.0425,7.676666667,24.35525154,7.538190897,3.092045,1.892224,11.01305
BH FN3 005 06-28.jpg,Birch,7,high,10.9,95.76939596,Fyke_Net,12,18.83,16.92,25.91,28.04,24.59,23.17,19.44,17.46,14.02,4.24,5.94,7.17,6.35,6.55,9.39,6.54,8.43,20.93111111,6.82625,22.14812469,7.598318655,11.92001829,0.52647,22.55147327,7.354708212,12.8409139,23.81,7.43,25.28354915,6.827587016,3.092045,1.892224,11.01305
BH FN3 006 06-28.jpg,Birch,7,high,10.9,90.57139585,Fyke_Net,11,7.95,16.25,22.35,25.24,23.11,20.82,17.35,16.23,14.11,5.1,5.39,6.05,4.99,6.16,5.68,5.92,6.55,18.15666667,5.73,19.64501165,6.653138088,10.89792844,0.52647,20.14550317,6.357659171,12.08988935,21.63,5.61,23.51857981,4.9862332,3.092045,1.892224,11.01305
BH FN3 007 06-28.jpg,Birch,7,high,10.9,97.10718044,Fyke_Net,11,11.72,16.27,23.39,23.48,22.72,16.5,15.09,13.28,13.57,6.66,5.21,6.88,5.56,6.74,6.41,7.32,7.4,17.33555556,6.5225,18.24224422,7.184411861,10.93384322,0.52647,18.54166078,6.97630688,11.69284211,19.4475,6.236666667,20.52995482,5.778666709,3.092045,1.892224,11.01305
BH FN3 008 06-28.jpg,Birch,7,high,10.9,102.2947525,Fyke_Net,11,9.16,25.03,24.39,25.87,22.58,19.41,16.96,16.03,11.43,12.48,6.21,6.73,8.51,6.86,7.85,7.1,6.77,18.98444444,7.81375,19.56675626,8.274391663,10.96074589,0.52647,19.75647588,8.13151972,11.40481044,21.205,7.74,21.89672869,7.397917359,3.092045,1.892224,11.01305
BH FN3 009 06-28.jpg,Birch,7,high,10.9,96.62211525,Fyke_Net,13,6.01,7.52,15.57,17.37,14.83,12.87,12.06,11.34,10.76,3.68,7.66,5.44,5.61,5.27,5.86,6.79,7.13,12.03666667,5.93,12.69154846,6.556578608,12.91875956,0.52647,12.90809252,6.359326907,13.85201736,14.2825,5.58,15.10951634,5.154789737,3.092045,1.892224,11.01305
BH FN3 010 06-28.jpg,Birch,7,high,10.9,81.70901948,Fyke_Net,10,15.86,13.71,22.82,20.25,20.25,17.37,14.41,13.77,12.7,4.4,3.68,5.95,5.47,5.57,5.14,6.49,6.86,16.79333333,5.445,18.93212945,6.834480929,9.859151451,0.52647,19.67085352,6.378004212,11.54681506,18.07,5.393333333,20.52458839,4.507840212,3.092045,1.892224,11.01305
BH FN3 011 06-28.jpg,Birch,7,high,10.9,60.79570553,Fyke_Net,13,3.11,3.02,4.77,13.31,20.87,20.16,17.8,16.46,15.95,2.97,3.64,3.62,2.32,8.12,4.29,4.11,4.41,12.82777778,4.185,16.27241944,6.569733125,12.63921145,0.52647,17.55637881,5.727691247,17.29576878,18.035,4.91,23.22056695,3.439851359,3.092045,1.892224,11.01305
BH FN3 012 06-28.jpg,Birch,7,high,10.9,77.60581901,Fyke_Net,9,8.46,20.82,23.55,22.73,20.2,16.32,15.11,12.89,12.12,3,6.88,5.89,5.24,5.19,5.22,6.14,6.08,16.91111111,5.455,19.46094619,7.119209301,8.851675132,0.52647,20.35347557,6.565409418,10.65192941,18.59,5.216666667,21.58156803,4.228107665,3.092045,1.892224,11.01305
BH FN3 013 06-28.jpg,Birch,7,high,10.9,68.92368815,Fyke_Net,11,11.52,16.49,20.16,20.63,18.57,18,16.28,14.46,10.83,4.54,3.49,6.19,6.16,5.68,5.39,5.46,5.79,16.32666667,5.3375,19.69931895,7.620071481,10.75827385,0.52647,20.91658307,6.838041358,13.78072875,18.37,5.743333333,22.42640661,4.336667086,3.092045,1.892224,11.01305
BH FN4 001 06-28.jpg,Birch,7,high,10.9,69.01714052,Fyke_Net,11,4.91,11.68,18.02,19.54,18.56,18.46,16.57,16.29,17.58,3.56,2.85,4.45,4.58,4.24,4.52,3.67,4.75,15.73444444,4.0775,18.97449696,5.815270303,10.7589622,0.52647,20.14349494,5.220090134,13.77178291,18.2825,4.446666667,22.30676611,3.360299153,3.092045,1.892224,11.01305
BH FN4 002 06-28.jpg,Birch,7,high,10.9,113.9995033,Fyke_Net,10,14.77,12.77,28.34,25.52,22.49,20.9,17.7,17.79,15.21,4.33,6.93,7.58,7.41,7.48,5.96,7.59,7.85,19.49888889,6.89125,19.24665194,6.723216065,10.01541862,0.52647,19.16687215,6.773919146,9.843439217,21.6525,6.95,21.35501968,7.086665477,3.092045,1.892224,11.01305
BH FN4 003 06-28.jpg,Birch,7,high,10.9,122.4978517,Fyke_Net,10,18.61,26.61,10.9,24.67,19.76,21.24,18.01,16.19,13.71,6.09,8.19,8.59,8.5,8.06,8.02,8.29,6.77,18.85555556,7.81375,18.08522048,7.219606122,10.04947965,0.52647,17.84602177,7.395409367,9.510033276,20.92,8.193333333,20.01308276,8.720861378,3.092045,1.892224,11.01305
BH FN4 004 06-28.jpg,Birch,7,high,10.9,110.9952419,Fyke_Net,12,9.43,15.98,23.99,26.6,24.01,22.6,19.72,17.59,13.24,4.87,5.05,7.35,7.03,7.4,9.97,7.69,7.86,19.24,7.1525,19.19459406,7.12053083,12.00335545,0.52647,19.18018371,7.130273406,11.96428467,23.2325,8.133333333,23.17424957,8.162089209,3.092045,1.892224,11.01305
CR FN1 001.jpg,Crampton,4,low,5,64.97346647,Fyke_Net,9,14.38,17.1,15.04,14.45,14.2,12.27,11.52,8.23,5,3.62,4.41,5.93,4.79,5.37,4.94,3.71,3.55,12.46555556,4.54,15.39906025,6.777513822,8.777726683,0.41055,15.49308895,5.642644807,10.90834373,13.11,5.033333333,16.41048419,3.668978515,2.852205,1.544237,11.62738
CR FN1 002.jpg,Crampton,4,low,5,124.8281207,Fyke_Net,11,8.49,11.1,17.84,21.47,20.07,15.62,10.21,11.21,12.76,5.72,4.96,6.78,7.8,7.73,6.84,6.8,9.72,14.30777778,7.04375,13.62042848,6.416024034,11.06426851,0.41055,13.60117014,6.695893,10.51664414,16.8425,7.456666667,15.98412503,8.026557345,2.852205,1.544237,11.62738
CR FN1 003.jpg,Crampton,4,low,5,108.5879485,Fyke_Net,11,6.57,14.87,18.31,22.15,20.76,17.22,13.16,12.45,14.6,8.61,3.87,5.68,6.02,6.08,5.66,7.98,9.3,15.56555556,6.65,15.66529697,6.731021901,10.99168926,0.41055,15.66821904,6.693867915,11.06292162,18.3225,5.92,18.44726996,5.863668372,2.852205,1.544237,11.62738
CR FN1 004.jpg,Crampton,4,low,5,64.90246063,Fyke_Net,11,7.37,9.62,14.18,14.55,14.07,12.88,10.42,7.37,9.61,3.47,3.24,4.1,3.82,4.3,4.74,6.87,5.59,11.11888889,4.51625,13.74147885,6.747638728,10.7277787,0.41055,13.82555983,5.615646933,13.33771787,12.98,4.286666667,16.25529079,3.122667112,2.852205,1.544237,11.62738
CR FN1 005.jpg,Crampton,4,low,5,83.23937819,Fyke_Net,11,7.37,9.62,14.18,14.55,14.07,12.88,10.42,7.37,9.61,3.47,3.24,4.1,3.82,4.3,4.74,6.87,5.59,11.11888889,4.51625,12.4425098,5.589698154,10.85457343,0.41055,12.48290158,5.070287844,12.18476904,12.98,4.286666667,14.62763291,3.622781032,2.852205,1.544237,11.62738
CR FN1 006.jpg,Crampton,4,low,5,77.1093696,Fyke_Net,11,7.82,11.88,14.61,16.85,16.79,13.64,14.11,12.46,10.65,4.3,4.41,6.43,5.14,5.02,5.58,5.84,5.78,13.20111111,5.3125,15.2305129,6.966981883,10.81543605,0.41055,15.29339131,6.154499521,12.52817275,15.3475,5.246666667,17.86582159,4.236161461,2.852205,1.544237,11.62738
CR FN1 007.jpg,Crampton,4,low,5,61.56902396,Fyke_Net,12,6.47,7.25,8.03,8.67,13.86,13.45,12.58,10.36,11.73,3.66,3.08,2.25,2.18,2.94,4.04,4.84,3.55,10.26666667,3.3175,12.9580478,5.158340066,11.6739299,0.41055,13.04523594,4.215352454,14.83166619,12.14,3.053333333,15.54704545,2.155309062,2.852205,1.544237,11.62738
CR FN1 008.jpg,Crampton,4,low,5,102.7295571,Fyke_Net,12,5.13,9.78,12.26,17.59,19.42,18.11,15.85,15.32,13.32,3.46,7.02,5.46,4.57,7.56,7.95,9.01,8.4,14.08666667,6.67875,14.49419462,7.049820446,11.9595724,0.41055,14.50613922,6.877637393,12.31429746,17.7425,6.693333333,18.28835911,6.413730073,2.852205,1.544237,11.62738
CR FN1 009.jpg,Crampton,4,low,5,107.226481,Fyke_Net,13,7.16,10.12,11.65,18.11,20.78,18.93,16.4,15.18,13.99,3.25,5.86,5.67,5.11,6.87,7.6,8.88,8.62,14.70222222,6.4825,14.87111966,6.624417615,12.98244119,0.41055,14.87605004,6.559151439,13.13443504,18.555,6.526666667,18.78156041,6.416051186,2.852205,1.544237,11.62738
CR FN1 010.jpg,Crampton,4,low,5,56.3887278,Fyke_Net,12,5.41,10.93,16.7,16.29,16.25,14.75,11.33,9.19,9.04,2.17,3.01,3.7,3.87,4.7,4.1,4.65,3.82,12.21,3.7525,15.96091883,6.235897287,11.62558177,0.41055,16.08454657,4.943270138,15.31292794,14.655,4.223333333,19.48045393,2.828806378,2.852205,1.544237,11.62738
CR FN1 011.jpg,Crampton,4,low,5,79.47752842,Fyke_Net,12,9.47,12.77,19.1,16.53,17.42,15.32,14.07,14.75,12.43,4.75,3.6,4.62,5.45,6.09,6.61,5.86,6.25,14.65111111,5.40375,16.70059996,6.926302343,11.81552254,0.41055,16.76372002,6.18294766,13.51771092,15.835,6.05,18.19840163,4.973788511,2.852205,1.544237,11.62738
CR FN1 012.jpg,Crampton,4,low,5,66.39450069,Fyke_Net,12,4.61,12.52,13.11,13.93,13.95,12.32,12.02,10.28,9.83,3.12,2.28,3.59,3.67,4.09,4.94,4.92,5.35,11.39666667,3.995,13.95760262,5.867084205,11.71559832,0.41055,14.03933912,4.921370786,14.43057634,13.055,4.233333333,16.19241572,3.125945463,2.852205,1.544237,11.62738
